Date,Open,High,Low,Close,Adj Close,Volume
2016-07-19,46.720001,46.980000,46.349998,46.790001,43.983379,42500
2016-07-20,46.950001,47.470001,46.950001,47.369999,44.528595,59700
2016-07-21,47.540001,48.200001,47.419998,48.080002,45.196003,82900
2016-07-22,48.119999,48.119999,46.910000,47.599998,44.744793,83300
2016-07-25,47.549999,47.639999,46.290001,47.250000,44.415783,64600
2016-07-26,47.310001,48.009998,47.310001,48.000000,45.120796,51900
2016-07-27,48.029999,48.360001,47.900002,48.250000,45.355804,48100
2016-07-28,48.290001,48.290001,46.880001,46.959999,44.143185,81700
2016-07-29,47.000000,47.049999,46.430000,46.549999,43.757771,70400
2016-08-02,46.599998,46.680000,46.130001,46.400002,43.616764,56900
2016-08-03,46.400002,46.630001,45.650002,46.299999,43.522778,52200
2016-08-04,46.360001,47.150002,46.360001,47.000000,44.180782,66400
2016-08-05,46.980000,47.549999,46.759998,47.020000,44.199585,56200
2016-08-08,47.189999,47.189999,46.290001,46.799999,43.992779,85600
2016-08-09,46.810001,47.590000,46.360001,47.480000,44.631992,121900
2016-08-10,48.180000,49.439999,46.599998,47.000000,44.180782,293300
2016-08-11,47.160000,47.450001,47.000000,47.200001,44.368790,119200
2016-08-12,47.009998,47.090000,46.419998,46.570000,43.776577,151600
2016-08-15,46.500000,46.500000,44.750000,45.150002,42.441753,170900
2016-08-16,45.110001,45.150002,43.830002,43.950001,41.313736,175900
2016-08-17,43.950001,44.340000,43.950001,44.000000,41.360729,165900
2016-08-18,44.080002,44.650002,44.060001,44.560001,41.887138,91700
2016-08-19,44.500000,45.200001,44.500000,45.009998,42.310143,154800
2016-08-22,45.000000,45.060001,43.430000,43.990002,41.351330,156000
2016-08-23,44.099998,44.570000,43.860001,44.119999,41.473534,125600
2016-08-24,44.160000,44.189999,43.330002,43.700001,41.078728,122200
2016-08-25,43.990002,43.990002,43.099998,43.740002,41.116322,116600
2016-08-26,43.770000,43.950001,42.529999,42.799999,40.232716,139200
2016-08-29,42.930000,43.000000,42.549999,42.869999,40.298515,131800
2016-08-30,42.990002,44.310001,42.849998,44.250000,41.595749,167900
2016-08-31,44.360001,44.770000,44.200001,44.459999,41.887802,135400
2016-09-01,44.500000,46.160000,44.500000,45.639999,42.999531,163200
2016-09-02,45.540001,45.610001,44.680000,45.080002,42.471943,123300
2016-09-06,45.189999,45.200001,44.160000,44.470001,41.897224,81900
2016-09-07,44.459999,44.459999,43.750000,43.900002,41.360199,109000
2016-09-08,43.840000,44.270000,43.299999,43.709999,41.181187,66900
2016-09-09,43.709999,43.730000,43.049999,43.360001,40.851437,100700
2016-09-12,43.259998,44.259998,43.150002,44.220001,41.661694,79900
2016-09-13,44.060001,44.189999,43.950001,44.029999,41.482677,107400
2016-09-14,44.009998,44.459999,43.970001,44.049999,41.501522,116000
2016-09-15,43.950001,44.919998,43.950001,44.820000,42.226982,322700
2016-09-16,44.950001,44.950001,43.720001,43.889999,41.350777,160100
2016-09-19,44.680000,46.200001,44.389999,46.029999,43.366974,221100
2016-09-20,46.169998,46.290001,45.439999,45.950001,43.291599,88600
2016-09-21,46.040001,46.139999,45.500000,46.080002,43.414078,48400
2016-09-22,46.310001,46.540001,46.000000,46.250000,43.574242,74800
2016-09-23,46.080002,46.349998,45.910000,45.990002,43.329300,45300
2016-09-26,45.919998,46.169998,45.230000,45.389999,42.764000,117600
